timestamp,tickerSymbol,open,high,low,close,volume
2/12/2025 19:55,IBM,256.05,256.05,255.91,256,47
2/12/2025 19:50,IBM,256.08,256.08,255.8101,255.8101,56
2/12/2025 19:40,IBM,255.92,255.92,255.91,255.92,71
2/12/2025 19:35,IBM,255.85,256.07,255.85,255.92,63
2/12/2025 19:30,IBM,255.85,256.08,255.85,256.08,2
2/12/2025 19:25,IBM,255.81,255.81,255.81,255.81,4
2/12/2025 19:20,IBM,255.95,255.95,255.82,255.82,330
2/12/2025 19:15,IBM,255.96,256.05,255.81,255.81,71
2/12/2025 19:10,IBM,255.95,256.09,255.81,256.09,52
2/12/2025 19:05,IBM,256.07,256.09,255.817,255.817,165
2/12/2025 19:00,IBM,255.81,255.81,255.81,255.81,623771
2/12/2025 18:50,IBM,256.09,256.09,256.09,256.09,5
2/12/2025 18:45,IBM,256,256.09,256,256.08,20
2/12/2025 18:40,IBM,255.2138,255.87,255.2138,255.87,173
2/12/2025 18:30,IBM,255.81,256.0503,255.81,256.0503,623811
2/12/2025 18:25,IBM,256.09,256.09,256.09,256.09,15
2/12/2025 18:20,IBM,255,255,255,255,10
2/12/2025 18:15,IBM,255.83,255.85,255.6,255.85,54
2/12/2025 18:10,IBM,256.1,256.15,256.1,256.15,2
2/12/2025 18:05,IBM,255.83,255.83,255.81,255.81,27
2/12/2025 17:50,IBM,256.19,256.19,256.19,256.19,1
2/12/2025 17:45,IBM,256.19,256.19,256.19,256.19,1
2/12/2025 17:40,IBM,256.18,256.2,256.18,256.2,43
2/12/2025 17:35,IBM,256.2,256.2,255,256,5
2/12/2025 17:30,IBM,256.2,256.2,256,256,6
2/12/2025 17:25,IBM,256.16,256.17,256.16,256.17,53
2/12/2025 17:20,IBM,256.03,256.16,255.81,255.81,80
2/12/2025 17:15,IBM,256.2,256.2,256.2,256.2,4
2/12/2025 17:10,IBM,255.99,256.79,254.5,256.79,209
2/12/2025 17:05,IBM,256,256,256,256,40
2/12/2025 17:00,IBM,255.6,256,255.6,256,136
2/12/2025 16:55,IBM,255.74,255.96,255.74,255.76,5
2/12/2025 16:50,IBM,255.94,255.96,255.81,255.96,7
2/12/2025 16:45,IBM,255.95,255.95,255.73,255.73,101
2/12/2025 16:40,IBM,255.81,256,255.81,255.99,8
2/12/2025 16:35,IBM,254,254,254,254,36
2/12/2025 16:30,IBM,256,256,256,256,67
2/12/2025 16:25,IBM,255.9,255.9,255.77,255.81,27
2/12/2025 16:20,IBM,255.65,255.81,255.5,255.81,670
2/12/2025 16:15,IBM,255.81,255.81,255.51,255.51,53
2/12/2025 16:10,IBM,255.81,255.81,255.5,255.5,623902
2/12/2025 16:05,IBM,255.81,255.81,255.06,255.78,2935
2/12/2025 16:00,IBM,255.85,255.87,255,255.81,1404303
2/12/2025 15:55,IBM,255.365,256.02,255.365,255.85,257105
2/12/2025 15:50,IBM,255.6,256.1,255.2,255.36,117736
2/12/2025 15:45,IBM,255.86,255.9325,255.33,255.47,76012
2/12/2025 15:40,IBM,255.98,256.4,255.87,255.94,80017
2/12/2025 15:35,IBM,255.56,255.98,255.555,255.98,45284
2/12/2025 15:30,IBM,255.33,255.6,255.29,255.56,35146
2/12/2025 15:25,IBM,255.43,255.47,255.245,255.245,23316
2/12/2025 15:20,IBM,255.43,255.5002,255.28,255.43,14799
2/12/2025 15:15,IBM,255.73,255.76,255.35,255.35,24503
2/12/2025 15:10,IBM,255.935,256.14,255.7,255.7,52414
2/12/2025 15:05,IBM,255.69,255.98,255.65,255.97,19160
2/12/2025 15:00,IBM,255.33,255.72,255.33,255.69,27413
2/12/2025 14:55,IBM,255.42,255.52,255.27,255.335,19606
2/12/2025 14:50,IBM,255.5,255.5,255.366,255.3812,10719
2/12/2025 14:45,IBM,255.175,255.59,255.14,255.53,17889
2/12/2025 14:40,IBM,255.48,255.48,255.13,255.175,13535
2/12/2025 14:35,IBM,255.35,255.5499,255.29,255.48,14911
2/12/2025 14:30,IBM,255.25,255.42,255.21,255.36,11612
2/12/2025 14:25,IBM,255.345,255.345,255.1282,255.25,13602
2/12/2025 14:20,IBM,255.23,255.39,255.14,255.35,17531
2/12/2025 14:15,IBM,255.085,255.23,255.01,255.23,18483
2/12/2025 14:10,IBM,255.39,255.41,255.06,255.09,23416
2/12/2025 14:05,IBM,255.32,255.47,255.235,255.4306,15878
2/12/2025 14:00,IBM,255.575,255.575,255.2312,255.34,31297
2/12/2025 13:55,IBM,255.985,255.99,255.58,255.6025,28756
2/12/2025 13:50,IBM,255.745,256.07,255.745,255.985,35275
2/12/2025 13:45,IBM,255.565,255.79,255.5057,255.745,15510
2/12/2025 13:40,IBM,255.64,255.67,255.37,255.565,25469
2/12/2025 13:35,IBM,255.49,255.7,255.445,255.635,19478
2/12/2025 13:30,IBM,255.4276,255.68,255.4276,255.505,21512
2/12/2025 13:25,IBM,255.37,255.59,255.37,255.47,37258
2/12/2025 13:20,IBM,255.53,255.57,255.37,255.39,15528
